Gender,Age,Working_professional,Annual_income,Mode_of_investment,Investment_per_month,Motivation_cause,Resources_used,Goal_for_investment,Duration_to_save(in_Years),Mode_of_investment_numeric
Male,19,0,0,"Banking - RD, FD",200,Family member,Family members/Friends,Wealth generation,10,0
Female,24,0,0,"Banking - RD, FD",1000,Social media/ Articles,Mobile applications,Wealth generation,3,0
Male,24,1,400000,"Stocks - Intraday, long term",5000,Social media/ Articles,News articles / Current affairs,Planning for finacial freedom after Retirement,10,8
Male,22,1,150000,Mutual Funds,2000,Agents/Investment brokers,News articles / Current affairs,Wealth generation,10,5
Male,25,1,250000,Mutual Funds,2000,Self Interest ,Books,Wealth generation,15,5
Male,27,1,384000,Crypto currency,3000,Social media/ Articles,Social media/ Articles,Wealth generation,5,2
Male,24,1,150000,Not prepared ,2000,No one,Family members/Friends,Planning for finacial freedom after Retirement,15,6
Female,22,0,0,Gold / Any other Materialistic investment,500,Family member,Family members/Friends,Personal Savings,10,3
Female,25,0,0,"Banking - RD, FD",2000,Family member,Family members/Friends,Personal Savings,5,0
Male,28,1,500000,"Stocks - Intraday, long term",5000,Friends,Mobile applications,Wealth generation,10,8
Female,35,0,0,"Banking - RD, FD",2000,Family member,Family members/Friends,Children's education/ Marriage,10,0
Female,28,1,300000,Gold / Any other Materialistic investment,5000,Self,Family members/Friends,Regarding your / Your Siblings marriage,3,3
Male,56,1,200000,Mutual Funds,1000,Through Bank,News articles / Current affairs,Planning for finacial freedom after Retirement,4,5
Male,23,0,0,"Stocks - Intraday, long term",500,Friends,Mobile applications,Construction of own House / Buying a new Car,15,8
Female,19,0,0,"Banking - RD, FD",1000,Through Bank,Books,Personal Savings,10,0
Male,31,1,200000,"Stocks - Intraday, long term",1000,Social media/ Articles,Mobile applications,Personal Savings,5,8
Male,26,0,0,"Banking - RD, FD",500,Self,News articles / Current affairs,Wealth generation,4,0
Male,28,1,300000,Mutual Funds,2500,Through Bank,Family members/Friends,Wealth generation,8,5
Female,26,1,150000,"Banking - RD, FD",1500,Family member,Family members/Friends,Regarding your / Your Siblings marriage,3,0
Male,23,0,0,"Banking - RD, FD",0,Through Bank,Books,Children's education/ Marriage,1,0
Male,20,0,0,"Banking - RD, FD",5000,Through Bank,Books,Personal Savings,1,0
Male,18,0,360000,Crypto currency,30000,Friends,Family members/Friends,Children's education/ Marriage,2,2
Male,23,1,0,"Stocks - Intraday, long term",10,Social media/ Articles,Books,Children's education/ Marriage,10,8
Male,22,0,0,"Stocks - Intraday, long term",100,Friends,Mobile applications,Construction of own House / Buying a new Car,10,8
Male,18,0,0,"Banking - RD, FD",5000,Through Bank,Family members/Friends,Planning for finacial freedom after Retirement,25,0
Male,20,0,0,"Stocks - Intraday, long term",0,Family member,Family members/Friends,Personal Savings,2,8
Male,28,1,250000,"Stocks - Intraday, long term",1500,Friends,Mobile applications,Wealth generation,4,8
Male,23,0,0,"Stocks - Intraday, long term",10000,Friends,News articles / Current affairs,Wealth generation,5,8
Female,28,1,120000,Mutual Funds,1000,Agents/Investment brokers,Family members/Friends,Children's education/ Marriage,5,5
Male,48,0,0,"Banking - RD, FD",1000,Friends,Family members/Friends,Personal Savings,5,0
Male,23,0,0,"Stocks - Intraday, long term",20000,Friends,Family members/Friends,Personal Savings,2,8
Female,23,0,0,Marketing ,5000,Friends,Family members/Friends,Planning for finacial freedom after Retirement,2,4
Female,23,1,150000,Gold / Any other Materialistic investment,2000,Family member,Family members/Friends,Regarding your / Your Siblings marriage,4,3
Female,26,1,300000,Mutual Funds,2000,Agents/Investment brokers,Mobile applications,Wealth generation,10,5
Female,24,1,200000,"Real estate, Bonds",3000,Family member,Family members/Friends,Construction of own House / Buying a new Car,10,7
Male,20,0,0,"Banking - RD, FD",2000,Family member,Family members/Friends,Personal Savings,6,0
Male,19,0,0,"Stocks - Intraday, long term",5000,Social media/ Articles,Mobile applications,Personal Savings,5,8
Male,20,0,80,"Stocks - Intraday, long term",1000,Friends,Family members/Friends,Personal Savings,5,8
Male,22,0,0,Gold / Any other Materialistic investment,2000,Friends,Family members/Friends,All the above ,3,3
Male,21,1,120000,Mutual Funds,3000,Agents/Investment brokers,Family members/Friends,Construction of own House / Buying a new Car,10,5
Female,30,1,180000,Mutual Funds,3000,Family member,Family members/Friends,Personal Savings,10,5
Female,45,1,200000,Mutual Funds,2000,Self,Books,Wealth generation,20,5
Male,21,0,0,Mutual Funds,10000,Family member,Mobile applications,Personal Savings,10,5
Male,21,0,0,"Stocks - Intraday, long term",1000,Friends,Family members/Friends,Planning for finacial freedom after Retirement,1,8
Female,22,0,0,"Banking - RD, FD",2000,Family member,Family members/Friends,Personal Savings,10,0
Male,24,1,200000,"Stocks - Intraday, long term",1000,Friends,Mobile applications,Personal Savings,10,8
Female,22,0,0,"Banking - RD, FD",500,Family member,Family members/Friends,Personal Savings,6,0
Male,24,0,0,"Stocks - Intraday, long term",1000,Social media/ Articles,Books,Wealth generation,7,8
Female,29,1,280000,Gold / Any other Materialistic investment,4000,Family member,Family members/Friends,Personal Savings,4,3
Male,26,1,350000,Mutual Funds,3000,Self motivation ,News articles / Current affairs,Tax saving,10,5
Male,22,0,0,"Stocks - Intraday, long term",2000,Friends,Mobile applications,Personal Savings,6,8
Female,27,1,400000,Mutual Funds,5000,Social media/ Articles,Mobile applications,Tax saving,8,5
Male,24,1,250000,"Stocks - Intraday, long term",2000,Friends,Family members/Friends,Regarding your / Your Siblings marriage,6,8
Male,25,1,400000,Mutual Funds,2500,Through Bank,Family members/Friends,Construction of own House / Buying a new Car,10,5
Female,22,0,0,"Stocks - Intraday, long term",500,Friends,Books,Regarding your / Your Siblings marriage,5,8
Male,26,1,400000,"Real estate, Bonds",4500,Self ,Family members/Friends,Wealth generation,10,7
Male,21,0,0,Crypto currency,0,Social media/ Articles,Mobile applications,Construction of own House / Buying a new Car,15,2
Male,28,1,350000,Mutual Funds,5000,Through Bank,Family members/Friends,Children's education/ Marriage,15,5
Female,24,1,200000,"Stocks - Intraday, long term",1000,Friends,Mobile applications,Planning for finacial freedom after Retirement,15,8
Male,25,1,350000,Gold / Any other Materialistic investment,2500,Family member,Family members/Friends,Tax saving,4,3
Male,26,1,400000,Mutual Funds,2500,Agents/Investment brokers,News articles / Current affairs,Regarding your / Your Siblings marriage,10,5
Female,18,0,0,"Banking - RD, FD",200,Family member,Family members/Friends,Personal Savings,5,0
Male,27,1,400000,"Stocks - Intraday, long term",1000,Social media/ Articles,Mobile applications,Wealth generation,8,8
Male,27,1,250000,"Stocks - Intraday, long term",1500,Friends,Mobile applications,Construction of own House / Buying a new Car,5,8
Female,23,1,150000,"Stocks - Intraday, long term",1000,Family member,Family members/Friends,Personal Savings,7,8
Male,36,1,600000,"Real estate, Bonds",8500,Friends,News articles / Current affairs,Tax saving,10,7
Female,29,0,0,Chit fund,1000,Family member,Family members/Friends,Personal Savings,1,1
Male,28,1,400000,"Stocks - Intraday, long term",1200,Social media/ Articles,Mobile applications,Planning for finacial freedom after Retirement,15,8
Male,23,1,150000,Mutual Funds,500,Agents/Investment brokers,Brokers,Wealth generation,8,5
Female,27,1,350000,"Banking - RD, FD",2500,Family member,Family members/Friends,Children's education/ Marriage,10,0
Male,29,1,400000,Mutual Funds,3000,Friends,Books,Children's education/ Marriage,10,5
Female,25,1,400000,Mutual Funds,3000,Through Bank,Mobile applications,Wealth generation,8,5
Male,35,1,300000,"Banking - RD, FD",2000,Through Bank,Mobile applications,Planning for finacial freedom after Retirement,10,0
Male,37,1,400000,"Banking - RD, FD",5000,Agents/Investment brokers,News articles / Current affairs,Tax saving,21,0
Female,23,1,400000,"Banking - RD, FD",15000,Family member,Family members/Friends,Personal Savings,2,0
Male,18,0,0,Crypto currency,5000,Social media/ Articles,Mobile applications,Construction of own House / Buying a new Car,5,2
Male,20,0,0,Mutual Funds,600,Friends,Books,Children's education/ Marriage,15,5
Female,24,0,0,Gold / Any other Materialistic investment,500,Through Bank,Family members/Friends,Wealth generation,7,3
Female,26,1,350000,Gold / Any other Materialistic investment,2500,Schemes,Family members/Friends,Personal Savings,5,3
Female,27,0,0,Gold / Any other Materialistic investment,1500,Family member,Family members/Friends,Wealth generation,6,3
Male,25,1,200000,Mutual Funds,1000,Friends,Family members/Friends,Wealth generation,10,5
Female,32,1,300000,"Banking - RD, FD",5000,Through Bank,Investors in bank,Planning for finacial freedom after Retirement,15,0
Male,26,1,250000,"Stocks - Intraday, long term",1500,Social media/ Articles,Mobile applications,Tax saving,5,8
Male,25,1,300000,Mutual Funds,5000,Self,Family members/Friends,Wealth generation,10,5
Male,24,0,0,"Stocks - Intraday, long term",500,Friends,Mobile applications,Wealth generation,5,8
Female,21,0,0,"Banking - RD, FD",500,Family member,Family members/Friends,Personal Savings,5,0
Male,28,1,350000,Gold / Any other Materialistic investment,1500,Agents/Investment brokers,Family members/Friends,Regarding your / Your Siblings marriage,5,3
Male,26,1,250000,"Stocks - Intraday, long term",1000,Social media/ Articles,Mobile applications,Wealth generation,10,8
Male,27,1,400000,"Real estate, Bonds",8500,Agents/Investment brokers,Family members/Friends,Construction of own House / Buying a new Car,5,7
Female,24,0,0,"Banking - RD, FD",1000,Family member,Family members/Friends,Personal Savings,8,0
Female,26,1,250000,Mutual Funds,2500,Through Bank,Mobile applications,Wealth generation,8,5
Male,21,1,120000,"Stocks - Intraday, long term",500,Friends,News articles / Current affairs,Wealth generation,5,8
Male,23,1,200000,Mutual Funds,1500,Social media/ Articles,News articles / Current affairs,Planning for finacial freedom after Retirement,9,5
Female,22,1,120000,Mutual Funds,1500,Social media/ Articles,Books,Wealth generation,8,5
Male,25,1,260000,Gold / Any other Materialistic investment,2000,Social media/ Articles,Family members/Friends,Regarding your / Your Siblings marriage,5,3
Male,22,0,0,"Stocks - Intraday, long term",500,Social media/ Articles,Mobile applications,Wealth generation,10,8
Male,29,1,250000,Mutual Funds,2000,Through Bank,News articles / Current affairs,Personal Savings,2,5
Female,23,1,150000,"Banking - RD, FD",1000,Family member,Family members/Friends,Construction of own House / Buying a new Car,10,0
Female,22,0,0,Mutual Funds,1000,Through Bank,Mobile applications,Wealth generation,6,5
Male,26,1,250000,"Stocks - Intraday, long term",1500,Agents/Investment brokers,Family members/Friends,Planning for finacial freedom after Retirement,10,8
Male,52,0,384000,"Banking - RD, FD",3000,Schemes,Brokers,Construction of own House / Buying a new Car,1,2
Male,18,0,80,Not prepared ,7000,Family member,News articles / Current affairs,Construction of own House / Buying a new Car,6,0
Male,50,0,280000,Gold / Any other Materialistic investment,5000,Agents/Investment brokers,Social media/ Articles,Wealth generation,15,3
Male,18,1,280000,Chit fund,5000,Self Interest ,Mobile applications,Children's education/ Marriage,3,8
Female,19,1,180000,"Banking - RD, FD",7000,Self motivation ,Books,All the above ,21,5
Male,26,0,0,Gold / Any other Materialistic investment,0,Family member,Family members/Friends,Planning for finacial freedom after Retirement,15,8
Female,44,1,80,"Real estate, Bonds",1000,No one,News articles / Current affairs,Tax saving,2,7
Male,20,1,150000,Chit fund,5000,Agents/Investment brokers,News articles / Current affairs,Wealth generation,5,7
Male,27,0,600000,Gold / Any other Materialistic investment,5000,No one,Books,All the above ,2,4
Female,29,0,250000,"Stocks - Intraday, long term",5000,Friends,Books,Children's education/ Marriage,4,2
Male,44,0,300000,Marketing ,0,Friends,Mobile applications,Wealth generation,3,1
Female,41,0,500000,"Real estate, Bonds",2000,Self motivation ,Investors in bank,Construction of own House / Buying a new Car,1,7
